X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
405569.950000003,137651.960000001,26015337,2026/02/04 16:34:22+00,2026/02/04 15:18:00+00,2026/02/04 16:00:00+00,4600 - 4700 BLOCK OF MINNESOTA AVENUE NE,BURGLARY,OTHERS,DAY,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,,405569.95,137651.96,38.9067085151,-76.9357824978,923909836,
397935.909999996,141011.390000001,26015669,2026/02/05 05:45:52+00,2026/02/05 01:46:00+00,2026/02/06 04:00:00+00,3700 - 3799 BLOCK OF NEW HAMPSHIRE AVENUE NW,ASSAULT W/DANGEROUS WEAPON,KNIFE,MIDNIGHT,4,4C,4,407,Cluster 18,002503 2,002503,Precinct 49,,397935.91,141011.39,38.9369865675,-77.0238075719,923909837,
402074.229999997,131290.444800001,26016355,2026/02/06 16:29:36+00,2026/02/06 15:02:00+00,2026/02/06 16:29:00+00,1800 - 2099 BLOCK OF SAVANNAH PLACE SE,BURGLARY,OTHERS,DAY,8,8C,7,704,Cluster 38,007403 1,007403,Precinct 116,,402074.229951878,131290.444791268,38.8494166901,-76.9761048208,923909838,
396326.170000002,139306.489999998,26017991,2026/02/10 03:40:51+00,2026/02/10 02:55:00+00,2026/02/10 03:00:00+00,2400 - 2499 BLOCK OF 18TH STREET NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,1,1C,3,303,Cluster 1,004002 1,004002,Precinct 25,ADAMS MORGAN,396326.17,139306.49,38.921623045,-77.0423654641,923909839,
397115.729999997,137836.25,26018507,2026/02/11 05:00:00+00,2026/02/11 08:43:00+00,,1400 - 1499 BLOCK OF RHODE ISLAND AVENUE NW,HOMICIDE,OTHERS,MIDNIGHT,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,,397115.73,137836.25,38.9083815792,-77.0332543288,923909840,
397025.049999997,145423.440000001,26019312,2026/02/13 03:28:47+00,2026/02/12 16:43:00+00,2026/02/12 17:03:00+00,7100 - 7299 BLOCK OF ALASKA AVENUE NW,THEFT/OTHER,OTHERS,EVENING,4,4A,4,401,Cluster 16,001600 3,001600,Precinct 62,,397025.05,145423.44,38.9767288555,-77.0343327273,923909841,
394437.039999999,137667.079999998,26019685,2026/02/13 20:35:00+00,2025/10/25 03:00:00+00,2025/10/25 04:01:00+00,3200 - 3256 BLOCK OF N STREET NW,THEFT F/AUTO,OTHERS,EVENING,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,GEORGETOWN,394437.04,137667.08,38.9068447656,-77.064137035,923909842,
397209.469999999,139586.899999999,26020338,2026/02/15 01:28:39+00,2026/02/10 18:00:00+00,2026/02/10 18:05:00+00,2600 - 2698 BLOCK OF 14TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,1,1A,3,304,Cluster 2,003600 2,003600,Precinct 36,,397209.47,139586.9,38.9241523169,-77.0321806643,923909843,
402466.060000002,139176.640000001,26020477,2026/02/15 09:43:31+00,2026/02/15 08:07:00+00,2026/02/15 08:26:00+00,2100 - 2199 BLOCK OF 24TH PLACE NE,THEFT F/AUTO,OTHERS,MIDNIGHT,5,5C,5,503,Cluster 22,011100 1,011100,Precinct 71,,402466.06,139176.64,38.9204575335,-76.971562629,923909844,
397293.5,141080.280000001,26030503,2026/03/09 00:58:51+00,2026/03/08 18:38:00+00,2026/03/08 19:38:00+00,1300 - 1399 BLOCK OF QUINCY STREET NW,THEFT/OTHER,OTHERS,EVENING,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 49,,397293.5,141080.28,38.9376054049,-77.0312175115,923909871,
397115.780000001,137977.23,26031117,2026/03/10 00:15:32+00,2026/03/09 21:55:00+00,2026/03/09 23:15:00+00,1400 - 1499 BLOCK OF P STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,,397115.78,137977.23,38.9096515756,-77.0332543444,923909872,
399778.82,137532.050000001,26031150,2026/03/10 00:27:44+00,2026/03/09 23:44:00+00,2026/03/09 23:45:00+00,201 - 299 BLOCK OF M STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,NOMA,399778.82,137532.05,38.9056459446,-77.0025500075,923909873,
393731.670000002,139295.760000002,26031663,2026/03/11 00:16:40+00,2026/03/10 06:00:00+00,2026/03/10 06:15:00+00,2301 - 2499 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3B,2,204,Cluster 14,000400 2,000400,Precinct 12,,393731.67,139295.76,38.9215117092,-77.0722843227,923909874,
398374.909999996,135355.710000001,26032259,2026/03/12 06:04:56+00,2026/03/12 00:50:00+00,2026/03/12 03:14:00+00,400 - 599 BLOCK OF C STREET SW,THEFT/OTHER,OTHERS,MIDNIGHT,6,6D,1,103,Cluster 9,010202 1,010202,Precinct 142,SOUTHWEST,398374.91,135355.71,38.8860392052,-77.0187306853,923909875,
397162.060000002,140182.43,26032502,2026/03/12 17:46:31+00,2026/03/12 16:05:00+00,2026/03/12 17:04:00+00,3100 - 3299 BLOCK OF 14TH STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,,397162.06,140182.43,38.9295168861,-77.0327298633,923909876,
400907.259999998,130743.57,26033962,2026/03/15 17:26:16+00,2026/03/14 18:11:00+00,2026/03/15 17:02:00+00,1200 - 1299 BLOCK OF ALABAMA AVENUE SE,THEFT/OTHER,OTHERS,DAY,8,8C,7,705,Cluster 39,007304 1,007304,Precinct 120,,400907.26,130743.57,38.844492179,-76.9895490639,923909877,
404105,139186,26034150,2026/03/16 00:55:39+00,2026/03/15 21:00:00+00,2026/03/15 22:00:00+00,2400 BLOCK OF MARKET STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5C,5,503,Cluster 24,009000 3,009000,Precinct 139,,404105,139186,38.9205357239,-76.952663139,923909878,
401657.060000002,136664.809999999,26034827,2026/03/17 16:17:01+00,2026/03/16 14:00:00+00,2026/03/16 14:00:00+00,1600 - 1699 BLOCK OF KRAMER STREET NE,THEFT/OTHER,OTHERS,DAY,7,7D,5,507,Cluster 25,007901 4,007901,Precinct 81,,401657.06,136664.81,38.8978320043,-76.9808976732,923909879,
400436.770000003,140224.93,26034935,2026/03/17 20:36:17+00,2026/03/11 17:46:00+00,2026/03/17 17:43:00+00,3200 - 3299 BLOCK OF 8TH STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5F,5,502,Cluster 21,009201 1,009201,Precinct 74,,400436.77,140224.93,38.9299042136,-76.9949627195,923909880,
400233.789999999,136927.879999999,26035037,2026/03/17 23:10:14+00,2026/03/17 21:40:00+00,2026/03/17 21:50:00+00,600 - 699 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,,400233.79,136927.88,38.9002033642,-76.9973048161,923909881,
398804.501900002,134350.07,26036816,2026/03/21 12:33:38+00,2026/03/21 10:15:00+00,2026/03/21 12:15:00+00,1100 - 1199 BLOCK OF DELAWARE AVENUE SW,THEFT F/AUTO,OTHERS,DAY,6,6D,1,105,Cluster 9,010500 3,010500,Precinct 128,SOUTHWEST,398804.501884844,134350.070010108,38.8769806994,-77.013777487,923909882,
399870.25,143376.440000001,26038255,2026/03/24 03:55:12+00,2026/03/24 02:52:00+00,,310 - 399 BLOCK OF RIGGS ROAD NE,THEFT/OTHER,OTHERS,MIDNIGHT,4,4B,4,406,Cluster 19,009505 3,009505,Precinct 65,,399870.25,143376.44,38.9582940114,-77.0014970064,923909883,
399074.100000001,137856.300000001,26038353,2026/03/24 14:32:21+00,2026/03/24 13:30:00+00,2026/03/24 13:36:00+00,1 - 99 BLOCK OF O STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,,399074.1,137856.3,38.9085664412,-77.0106752357,923909884,
398758.710000001,145213.059999999,26038953,2026/03/25 17:49:48+00,2026/03/25 16:03:00+00,2026/03/25 17:45:00+00,100 - 199 BLOCK OF CARROLL STREET NW,THEFT/OTHER,OTHERS,DAY,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,,398758.71,145213.06,38.9748378665,-77.014324859,923909885,
399009.600000001,139557.600000001,26040563,2026/03/28 21:15:48+00,2026/03/22 20:41:00+00,2026/03/25 17:00:00+00,2600 - 2699 BLOCK OF PLATT COURT NW,THEFT/OTHER,OTHERS,EVENING,5,5E,3,306,Cluster 21,003301 1,003301,Precinct 135,,399009.6,139557.6,38.9238922458,-77.0114213476,923909886,
402493.725199997,131260.963500001,26041636,2026/03/30 22:11:54+00,2026/03/30 00:30:00+00,2026/03/30 14:00:00+00,3266 - 3399 BLOCK OF 23RD STREET SE,THEFT F/AUTO,OTHERS,EVENING,8,8E,7,704,Cluster 38,007403 2,007403,Precinct 116,,402493.725248267,131260.963543241,38.849150021,-76.971272332,923909887,
402520.681500003,132578.767299999,26041976,2026/03/31 16:01:18+00,2026/03/31 13:55:00+00,,2300 - 2399 BLOCK OF SKYLAND PLACE SE,THEFT/OTHER,OTHERS,DAY,8,8B,7,702,Cluster 36,007502 1,007502,Precinct 134,,402520.681472292,132578.767320464,38.8610212842,-76.9709569671,923909888,
400260.909999996,140497.989999998,26042067,2026/03/31 18:40:29+00,2026/03/31 17:34:00+00,2026/03/31 18:00:00+00,600 - 699 BLOCK OF MONROE STREET NE,ASSAULT W/DANGEROUS WEAPON,GUN,DAY,5,5F,5,502,Cluster 21,009201 2,009201,Precinct 74,,400260.91,140497.99,38.9323640917,-76.996990814,923909889,
397068.32,140306.489999998,26045223,2026/04/06 21:07:34+00,2026/04/06 01:30:00+00,2026/04/06 21:00:00+00,1400 - 1499 BLOCK OF PARK ROAD NW,THEFT/OTHER,OTHERS,EVENING,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,,397068.32,140306.49,38.930634149,-77.0338114933,923910036,
398186.039999999,137185.329999998,26045236,2026/04/07 02:03:19+00,2026/04/06 21:05:00+00,2026/04/06 21:41:00+00,600 - 699 BLOCK OF K STREET NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 18,MOUNT VERNON TRIANGLE CID,398186.04,137185.33,38.902520725,-77.0209124198,923910037,
399375.030000001,141612.949999999,26045819,2026/04/07 22:38:58+00,2026/04/07 12:00:00+00,2026/04/07 22:10:00+00,4200 - 4299 BLOCK OF HALF PLACE NE,MOTOR VEHICLE THEFT,OTHERS,EVENING,5,5A,4,405,Cluster 19,009510 2,009510,Precinct 44,,399375.03,141612.95,38.9424077981,-77.0072090604,923910038,
397577.630000003,143785.940000001,26046316,2026/04/08 22:10:42+00,2026/04/08 20:29:00+00,2026/04/08 21:00:00+00,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,THEFT/OTHER,OTHERS,EVENING,4,4B,4,402,Cluster 17,001901 1,001901,Precinct 58,,397577.63,143785.94,38.9619795615,-77.0279498335,923910039,
395458.289999999,136921.530000001,26420112,2026/01/09 00:47:31+00,2026/01/07 00:02:00+00,2026/01/07 00:06:00+00,800 - 899 BLOCK OF NEW HAMPSHIRE AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2A,2,207,Cluster 5,005601 3,005601,Precinct 3,,395458.29,136921.53,38.9001344595,-77.0523578103,923910040,
401026.07,137243.609999999,26420128,2026/01/10 01:32:06+00,2025/12/01 16:31:00+00,2025/12/01 16:32:00+00,1200 - 1299 BLOCK OF MORSE STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008802 3,008802,Precinct 77,,401026.07,137243.61,38.9030470047,-76.9881707619,923910041,
398068.789999999,141087.710000001,26420251,2026/01/17 14:16:17+00,2026/01/16 17:07:00+00,2026/01/16 17:08:00+00,700 - 799 BLOCK OF QUINCY STREET NW,THEFT/OTHER,OTHERS,DAY,4,4C,4,407,Cluster 18,002400 1,002400,Precinct 49,,398068.79,141087.71,38.9376743828,-77.0222751258,923910042,
397708.869999997,139771.199999999,26420374,2026/01/24 01:32:14+00,2026/01/23 12:30:00+00,2026/01/23 12:30:00+00,1000 - 1099 BLOCK OF GIRARD STREET NW,THEFT F/AUTO,OTHERS,EVENING,1,1A,3,304,Cluster 2,003500 1,003500,Precinct 37,,397708.87,139771.2,38.9258139937,-77.0264221503,923910043,
400437.600000001,140004.399999999,26420379,2026/01/24 14:47:10+00,2026/01/23 19:30:00+00,2026/01/23 19:30:00+00,3000 - 3099 BLOCK OF 8TH STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5F,5,502,Cluster 21,009201 1,009201,Precinct 74,,400437.6,140004.4,38.9279176105,-76.9949532877,923910044,
396029.920000002,138846.399999999,26420542,2026/02/07 02:46:44+00,2026/01/23 17:36:00+00,2026/01/23 17:36:00+00,2000 - 2059 BLOCK OF COLUMBIA ROAD NW,THEFT/OTHER,OTHERS,EVENING,1,1C,3,303,Cluster 1,004002 3,004002,Precinct 25,,396029.92,138846.4,38.9174771162,-77.0457790657,923910045,
392527.920000002,143179.280000001,26420678,2026/02/18 12:15:46+00,2026/02/07 01:40:00+00,2026/02/07 18:40:00+00,5100 - 5199 BLOCK OF 44TH STREET NW,THEFT F/AUTO,OTHERS,DAY,3,3E,2,202,Cluster 11,001004 1,001004,Precinct 31,,392527.92,143179.28,38.9564861701,-77.0862078558,923910046,
401669.119999997,136438.539999999,26420951,2026/03/10 11:32:00+00,2026/03/08 15:00:00+00,2026/03/08 15:30:00+00,410 - 499 BLOCK OF 17TH STREET NE,THEFT/OTHER,OTHERS,DAY,7,7D,5,507,Cluster 25,007901 2,007901,Precinct 81,,401669.12,136438.54,38.8957936591,-76.9807591972,923910047,
395188.549999997,140277.899999999,26421239,2026/04/01 14:01:04+00,2026/03/31 23:30:00+00,2026/04/01 01:55:00+00,3000 - 3199 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,3,3C,2,204,Cluster 15,000502 2,000502,Precinct 26,,395188.55,140277.9,38.930368319,-77.0554909503,923910048,
