X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
401014.649999999,136819.809999999,26421265,2026/04/02 13:15:35+00,2026/04/01 21:41:00+00,2026/04/01 21:42:00+00,700 - 721 BLOCK OF 13TH STREET NE,THEFT/OTHER,OTHERS,DAY,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,,401014.65,136819.81,38.8992292764,-76.9883030455,923910049,
397423.950000003,140440.609999999,26421285,2026/04/03 14:01:22+00,2026/03/25 22:52:00+00,2026/03/25 23:30:00+00,3400 - 3499 BLOCK OF 13TH STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 42,,397423.95,140440.61,38.9318434576,-77.0297104643,923910050,
402659.770400003,131024.143199999,26020885,2026/02/16 10:35:20+00,2026/02/16 10:03:00+00,2026/02/16 10:33:00+00,3400 - 3465 BLOCK OF 25TH STREET SE,THEFT/OTHER,OTHERS,MIDNIGHT,8,8E,7,704,Cluster 38,007409 1,007409,Precinct 116,,402659.770432421,131024.143223021,38.8470161534,-76.9693604104,923910244,
400638.689999998,137325.93,26020900,2026/02/16 15:46:20+00,2026/02/13 03:00:00+00,2026/02/13 20:30:00+00,10TH STREET NE AND FLORIDA AVENUE NE,THEFT F/AUTO,OTHERS,DAY,6,5D,5,506,Cluster 25,008802 3,008802,Precinct 77,,400638.69001455,137325.93001287,38.9037889392,-76.9926366672,923910245,
400638.060000002,136989.890000001,26021625,2026/02/18 02:35:48+00,2026/02/17 17:05:00+00,2026/02/18 00:32:00+00,800 - 899 BLOCK OF 10TH STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,,400638.06,136989.89,38.900761772,-76.9926442427,923910246,
402413.259999998,140526.350000001,26022351,2026/02/19 17:02:11+00,2026/02/19 12:47:00+00,2026/02/19 16:30:00+00,3400 - 3499 BLOCK OF 24TH STREET NE,ASSAULT W/DANGEROUS WEAPON,GUN,DAY,5,5B,5,503,Cluster 24,009400 3,009400,Precinct 71,,402413.26,140526.35,38.9326162919,-76.9721667467,923910247,
397585.729999997,140879.07,26022551,2026/02/20 02:59:28+00,2026/02/06 22:00:00+00,2026/02/07 06:39:00+00,1000 - 1099 BLOCK OF SPRING ROAD NW,THEFT/OTHER,OTHERS,EVENING,4,4C,4,404,Cluster 18,002503 2,002503,Precinct 49,,397585.73,140879.07,38.9357936971,-77.027846143,923910248,
397597.380000003,144927.399999999,26023043,2026/02/20 22:21:36+00,2026/02/19 01:30:00+00,2026/02/19 11:30:00+00,1100 - 1221 BLOCK OF ASPEN STREET NW,THEFT F/AUTO,OTHERS,EVENING,4,4A,4,401,Cluster 17,001804 2,001804,Precinct 61,,397597.38,144927.4,38.9722621655,-77.0277259537,923910249,
403008.026000001,134259.249600001,26023925,2026/02/22 20:11:21+00,2026/02/22 18:58:00+00,2026/02/22 19:47:00+00,2900 - 2999 BLOCK OF MINNESOTA AVENUE SE,THEFT/OTHER,OTHERS,EVENING,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,,403008.025952744,134259.249594023,38.8761582209,-76.965334482,923910250,
401135.369999997,135773.350000001,26024685,2026/02/24 17:45:38+00,2026/02/24 16:15:00+00,2026/02/24 16:30:00+00,1300 - 1399 BLOCK OF EAST CAPITOL STREET,THEFT F/AUTO,OTHERS,DAY,6,6B,1,107,Cluster 26,006700 1,006700,Precinct 88,,401135.37,135773.35,38.8898022329,-76.9869131065,923910251,
